sep=,
"Date","Open(QUSD1MFSR=X)","High(QUSD1MFSR=X)","Low(QUSD1MFSR=X)","Last(QUSD1MFSR=X)"
"19/7/2022","","","","2.16157"
"18/7/2022","","","","2.12643"
"15/7/2022","","","","2.12029"
"14/7/2022","","","","2.156"
"13/7/2022","","","","1.99914"
"12/7/2022","","","","1.97143"
"11/7/2022","","","","1.96443"
"8/7/2022","","","","1.89971"
"7/7/2022","","","","1.87214"
"6/7/2022","","","","1.80686"
"5/7/2022","","","","1.791"
"4/7/2022","","","","1.77729"
"1/7/2022","","","","1.79757"
"30/6/2022","","","","1.78671"
"29/6/2022","","","","1.71314"
"28/6/2022","","","","1.66614"
"27/6/2022","","","","1.65229"
"24/6/2022","","","","1.63271"
"23/6/2022","","","","1.62357"
"22/6/2022","","","","1.63271"
"21/6/2022","","","","1.64157"
"20/6/2022","","","","1.62629"
"17/6/2022","","","","1.61229"
"16/6/2022","","","","1.59514"
"15/6/2022","","","","1.52343"
"14/6/2022","","","","1.50929"
"13/6/2022","","","","1.324"
"10/6/2022","","","","1.28214"
"9/6/2022","","","","1.25471"
"8/6/2022","","","","1.19971"
"7/6/2022","","","","1.19029"
"6/6/2022","","","","1.15971"
"1/6/2022","","","","1.11971"
"31/5/2022","","","","1.11986"
"30/5/2022","","","","1.06157"
"27/5/2022","","","","1.06171"
"26/5/2022","","","","1.05957"
"25/5/2022","","","","1.023"
"24/5/2022","","","","1.01657"
"23/5/2022","","","","1.00571"
"20/5/2022","","","","0.97357"
"19/5/2022","","","","0.96071"
"18/5/2022","","","","0.92729"
"17/5/2022","","","","0.92843"
"16/5/2022","","","","0.93557"
"13/5/2022","","","","0.88671"
"12/5/2022","","","","0.87471"
"11/5/2022","","","","0.85414"
"10/5/2022","","","","0.84314"
"9/5/2022","","","","0.84443"
"6/5/2022","","","","0.84214"
"5/5/2022","","","","0.84486"
"4/5/2022","","","","0.84514"
"3/5/2022","","","","0.83171"
"29/4/2022","","","","0.80329"
"28/4/2022","","","","0.8"
"27/4/2022","","","","0.76371"
"26/4/2022","","","","0.74871"
"25/4/2022","","","","0.698"
"22/4/2022","","","","0.70343"
"21/4/2022","","","","0.66786"
"20/4/2022","","","","0.63157"
"19/4/2022","","","","0.62471"
"14/4/2022","","","","0.59443"
"13/4/2022","","","","0.55414"
"12/4/2022","","","","0.55129"
"11/4/2022","","","","0.52457"
"8/4/2022","","","","0.514"
"7/4/2022","","","","0.48814"
"6/4/2022","","","","0.45143"
"5/4/2022","","","","0.446"
"4/4/2022","","","","0.42857"
"1/4/2022","","","","0.43757"
"31/3/2022","","","","0.452"
"30/3/2022","","","","0.45514"
"29/3/2022","","","","0.45743"
"28/3/2022","","","","0.44943"
"25/3/2022","","","","0.44514"
"24/3/2022","","","","0.44714"
"23/3/2022","","","","0.45657"
"22/3/2022","","","","0.45486"
"21/3/2022","","","","0.444"
"18/3/2022","","","","0.44657"
"17/3/2022","","","","0.44857"
"16/3/2022","","","","0.46757"
"15/3/2022","","","","0.44143"
"14/3/2022","","","","0.43057"
"11/3/2022","","","","0.39657"
"10/3/2022","","","","0.387"
"9/3/2022","","","","0.35171"
"8/3/2022","","","","0.32114"
"7/3/2022","","","","0.30629"
"4/3/2022","","","","0.31014"
"3/3/2022","","","","0.28914"
"2/3/2022","","","","0.24243"
"1/3/2022","","","","0.23457"
"28/2/2022","","","","0.24143"
"25/2/2022","","","","0.23057"
"24/2/2022","","","","0.20857"
"23/2/2022","","","","0.18686"
"22/2/2022","","","","0.17586"
"21/2/2022","","","","0.162"
"18/2/2022","","","","0.17071"
"17/2/2022","","","","0.16171"
"16/2/2022","","","","0.13671"
"15/2/2022","","","","0.11971"
"14/2/2022","","","","0.12571"
"11/2/2022","","","","0.19114"
"10/2/2022","","","","0.12371"
"9/2/2022","","","","0.12271"
"8/2/2022","","","","0.12571"
"7/2/2022","","","","0.12471"
"4/2/2022","","","","0.11529"
"3/2/2022","","","","0.11129"
"2/2/2022","","","","0.10814"
"1/2/2022","","","","0.113"
"31/1/2022","","","","0.10686"
"28/1/2022","","","","0.10629"
"27/1/2022","","","","0.105"
"26/1/2022","","","","0.10914"
"25/1/2022","","","","0.10786"
"24/1/2022","","","","0.10843"
"21/1/2022","","","","0.10771"
"20/1/2022","","","","0.10929"
"19/1/2022","","","","0.10914"
"18/1/2022","","","","0.10371"
"17/1/2022","","","","0.103"
"14/1/2022","","","","0.10329"
"13/1/2022","","","","0.10629"
"12/1/2022","","","","0.11014"
"11/1/2022","","","","0.113"
"10/1/2022","","","","0.104"
"7/1/2022","","","","0.10529"
"6/1/2022","","","","0.10414"
"5/1/2022","","","","0.102"
"4/1/2022","","","","0.10371"
"31/12/2021","","","","0.10125"
"30/12/2021","","","","0.10188"
"29/12/2021","","","","0.10425"
"24/12/2021","","","","0.10125"
"23/12/2021","","","","0.10188"
"22/12/2021","","","","0.10275"
"21/12/2021","","","","0.10425"
"20/12/2021","","","","0.1035"
"17/12/2021","","","","0.1025"
"16/12/2021","","","","0.10388"
"15/12/2021","","","","0.10863"
"14/12/2021","","","","0.1075"
"13/12/2021","","","","0.10975"
"10/12/2021","","","","0.10863"
"9/12/2021","","","","0.10463"
"8/12/2021","","","","0.10138"
"7/12/2021","","","","0.102"
"6/12/2021","","","","0.10313"
"3/12/2021","","","","0.10413"
"2/12/2021","","","","0.1035"
"1/12/2021","","","","0.10263"
"30/11/2021","","","","0.094"
"29/11/2021","","","","0.09925"
"26/11/2021","","","","0.09038"
"25/11/2021","","","","0.093"
"24/11/2021","","","","0.09163"
"23/11/2021","","","","0.092"
"22/11/2021","","","","0.09238"
"19/11/2021","","","","0.09338"
"18/11/2021","","","","0.09113"
"17/11/2021","","","","0.08875"
"16/11/2021","","","","0.08888"
"15/11/2021","","","","0.09113"
"12/11/2021","","","","0.08913"
"11/11/2021","","","","0.0895"
"10/11/2021","","","","0.08925"
"9/11/2021","","","","0.08925"
"8/11/2021","","","","0.09113"
"5/11/2021","","","","0.08863"
"4/11/2021","","","","0.08963"
"3/11/2021","","","","0.0855"
"2/11/2021","","","","0.08088"
"1/11/2021","","","","0.08113"
"29/10/2021","","","","0.0875"
"28/10/2021","","","","0.08638"
"27/10/2021","","","","0.087"
"26/10/2021","","","","0.087"
"25/10/2021","","","","0.08775"
"22/10/2021","","","","0.08788"
"21/10/2021","","","","0.08925"
"20/10/2021","","","","0.08575"
"19/10/2021","","","","0.08563"
"18/10/2021","","","","0.08563"
"15/10/2021","","","","0.08038"
"14/10/2021","","","","0.08588"
"13/10/2021","","","","0.09025"
"12/10/2021","","","","0.08788"
"11/10/2021","","","","0.08538"
"8/10/2021","","","","0.08363"
"7/10/2021","","","","0.086"
"6/10/2021","","","","0.08713"
"5/10/2021","","","","0.08575"
"4/10/2021","","","","0.07788"
"1/10/2021","","","","0.07525"
"30/9/2021","","","","0.08025"
"29/9/2021","","","","0.08238"
"28/9/2021","","","","0.08413"
"27/9/2021","","","","0.08675"
"24/9/2021","","","","0.08513"
"23/9/2021","","","","0.086"
"22/9/2021","","","","0.08325"
"21/9/2021","","","","0.08175"
"20/9/2021","","","","0.0835"
"17/9/2021","","","","0.0835"
"16/9/2021","","","","0.08738"
"15/9/2021","","","","0.08413"
"14/9/2021","","","","0.08463"
"13/9/2021","","","","0.08375"
"10/9/2021","","","","0.08388"
"9/9/2021","","","","0.08263"
"8/9/2021","","","","0.08475"
"7/9/2021","","","","0.08313"
"6/9/2021","","","","0.083"
"3/9/2021","","","","0.08288"
"2/9/2021","","","","0.08288"
"1/9/2021","","","","0.08325"
"31/8/2021","","","","0.0825"
"27/8/2021","","","","0.086"
"26/8/2021","","","","0.08463"
"25/8/2021","","","","0.08788"
"24/8/2021","","","","0.08888"
"23/8/2021","","","","0.08438"
"20/8/2021","","","","0.08588"
"19/8/2021","","","","0.08788"
"18/8/2021","","","","0.08838"
"17/8/2021","","","","0.0865"
"16/8/2021","","","","0.0885"
"13/8/2021","","","","0.09275"
"12/8/2021","","","","0.0955"
"11/8/2021","","","","0.09663"
"10/8/2021","","","","0.0965"
"9/8/2021","","","","0.09525"
"6/8/2021","","","","0.09513"
"5/8/2021","","","","0.09575"
"4/8/2021","","","","0.08925"
"3/8/2021","","","","0.09038"
"2/8/2021","","","","0.08963"
"30/7/2021","","","","0.0905"
"29/7/2021","","","","0.09575"
"28/7/2021","","","","0.092"
"27/7/2021","","","","0.09013"
"26/7/2021","","","","0.08725"
"23/7/2021","","","","0.08613"
"22/7/2021","","","","0.08925"
"21/7/2021","","","","0.08663"
"20/7/2021","","","","0.089"
"19/7/2021","","","","0.08525"
"16/7/2021","","","","0.08363"
"15/7/2021","","","","0.08913"
"14/7/2021","","","","0.09113"
"13/7/2021","","","","0.09313"
"12/7/2021","","","","0.09575"
"9/7/2021","","","","0.10013"
"8/7/2021","","","","0.10038"
"7/7/2021","","","","0.10288"
"6/7/2021","","","","0.10213"
"5/7/2021","","","","0.10413"
"2/7/2021","","","","0.10288"
"1/7/2021","","","","0.1025"
"30/6/2021","","","","0.1005"
"29/6/2021","","","","0.10025"
"28/6/2021","","","","0.10425"
"25/6/2021","","","","0.09613"
"24/6/2021","","","","0.095"
"23/6/2021","","","","0.0915"
"22/6/2021","","","","0.09075"
"21/6/2021","","","","0.09588"
"18/6/2021","","","","0.091"
"17/6/2021","","","","0.09338"
"16/6/2021","","","","0.0825"
"15/6/2021","","","","0.08175"
"14/6/2021","","","","0.07463"
"11/6/2021","","","","0.07288"
"10/6/2021","","","","0.07263"
"9/6/2021","","","","0.07463"
"8/6/2021","","","","0.077"
"7/6/2021","","","","0.08125"
"4/6/2021","","","","0.08125"
"3/6/2021","","","","0.08"
"2/6/2021","","","","0.0855"
"1/6/2021","","","","0.08875"
"28/5/2021","","","","0.08588"
"27/5/2021","","","","0.09213"
"26/5/2021","","","","0.0925"
"25/5/2021","","","","0.09"
"24/5/2021","","","","0.091"
"21/5/2021","","","","0.09163"
"20/5/2021","","","","0.0925"
"19/5/2021","","","","0.0965"
"18/5/2021","","","","0.09925"
"17/5/2021","","","","0.0975"
"14/5/2021","","","","0.0975"
"13/5/2021","","","","0.10088"
"12/5/2021","","","","0.09813"
"11/5/2021","","","","0.09375"
"10/5/2021","","","","0.09813"
"7/5/2021","","","","0.10138"
"6/5/2021","","","","0.09513"
