date,/SRAU3,dd,mm,yyyy
2021-07-01,99.225,1,7,2021
2021-06-30,99.26,30,6,2021
2021-06-29,99.25,29,6,2021
2021-06-28,99.255,28,6,2021
2021-06-25,99.23,25,6,2021
2021-06-24,99.255,24,6,2021
2021-06-23,99.265,23,6,2021
2021-06-22,99.31,22,6,2021
2021-06-21,99.285,21,6,2021
2021-06-18,99.26,18,6,2021
2021-06-17,99.295,17,6,2021
2021-06-16,99.35,16,6,2021
2021-06-15,99.46,15,6,2021
2021-06-14,99.465,14,6,2021
2021-06-11,99.495,11,6,2021
2021-06-10,99.52,10,6,2021
2021-06-09,99.51,9,6,2021
2021-06-08,99.48,8,6,2021
2021-06-07,99.455,7,6,2021
2021-06-04,99.465,4,6,2021
2021-06-03,99.42,3,6,2021
2021-06-02,99.465,2,6,2021
2021-06-01,99.44,1,6,2021
2021-05-28,99.455,28,5,2021
2021-05-27,99.45,27,5,2021
2021-05-26,99.475,26,5,2021
2021-05-25,99.48,25,5,2021
2021-05-24,99.44,24,5,2021
2021-05-21,99.415,21,5,2021
2021-05-20,99.425,20,5,2021
2021-05-19,99.385,19,5,2021
2021-05-18,99.42,18,5,2021
2021-05-17,99.42,17,5,2021
2021-05-14,99.42,14,5,2021
2021-05-13,99.415,13,5,2021
2021-05-12,99.38,12,5,2021
2021-05-11,99.465,11,5,2021
2021-05-10,99.485,10,5,2021
2021-05-07,99.485,7,5,2021
2021-05-06,99.425,6,5,2021
2021-05-05,99.415,5,5,2021
2021-05-04,99.405,4,5,2021
2021-05-03,99.385,3,5,2021
2021-04-30,99.36,30,4,2021
2021-04-29,99.355,29,4,2021
2021-04-28,99.35,28,4,2021
2021-04-27,99.335,27,4,2021
2021-04-26,99.36,26,4,2021
2021-04-23,99.37,23,4,2021
2021-04-22,99.395,22,4,2021
2021-04-21,99.395,21,4,2021
2021-04-20,99.415,20,4,2021
2021-04-19,99.39,19,4,2021
2021-04-16,99.375,16,4,2021
2021-04-15,99.4,15,4,2021
2021-04-14,99.33,14,4,2021
2021-04-13,99.35,13,4,2021
2021-04-12,99.275,12,4,2021
2021-04-09,99.31,9,4,2021
2021-04-08,99.335,8,4,2021
2021-04-07,99.32,7,4,2021
2021-04-06,99.285,6,4,2021
2021-04-05,99.195,5,4,2021
2021-04-02,99.16,2,4,2021
2021-04-01,99.255,1,4,2021
2021-03-31,99.235,31,3,2021
2021-03-30,99.26,30,3,2021
2021-03-29,99.28,29,3,2021
2021-03-26,99.345,26,3,2021
2021-03-25,99.385,25,3,2021
2021-03-24,99.37,24,3,2021
2021-03-23,99.35,23,3,2021
2021-03-22,99.335,22,3,2021
2021-03-19,99.32,19,3,2021
2021-03-18,99.345,18,3,2021
2021-03-17,99.4,17,3,2021
2021-03-16,99.335,16,3,2021
2021-03-15,99.32,15,3,2021
2021-03-12,99.305,12,3,2021
2021-03-11,99.36,11,3,2021
2021-03-10,99.365,10,3,2021
2021-03-09,99.315,9,3,2021
2021-03-08,99.275,8,3,2021
2021-03-05,99.33,5,3,2021
2021-03-04,99.31,4,3,2021
2021-03-03,99.365,3,3,2021
2021-03-02,99.42,2,3,2021
2021-03-01,99.385,1,3,2021
2021-02-26,99.305,26,2,2021
2021-02-25,99.315,25,2,2021
2021-02-24,99.515,24,2,2021
