sep=,
"Date","Open(Q.SR1M)","High(Q.SR1M)","Low(Q.SR1M)","Last(Q.SR1M)"
"4/1/2021","","","","0.0698"
"5/1/2021","","","","0.0699"
"6/1/2021","","","","0.076"
"7/1/2021","","","","0.0769"
"8/1/2021","","","","0.0761"
"11/1/2021","","","","0.0749"
"12/1/2021","","","","0.0722"
"13/1/2021","","","","0.075"
"14/1/2021","","","","0.0717"
"15/1/2021","","","","0.0722"
"19/1/2021","","","","0.0697"
"20/1/2021","","","","0.0695"
"21/1/2021","","","","0.0655"
"22/1/2021","","","","0.0607"
"25/1/2021","","","","0.0596"
"26/1/2021","","","","0.0578"
"27/1/2021","","","","0.0498"
"28/1/2021","","","","0.0471"
"29/1/2021","","","","0.0509"
"1/2/2021","","","","0.042"
"2/2/2021","","","","0.0428"
"3/2/2021","","","","0.0464"
"4/2/2021","","","","0.0455"
"5/2/2021","","","","0.0333"
"8/2/2021","","","","0.0277"
"9/2/2021","","","","0.0245"
"10/2/2021","","","","0.0284"
"11/2/2021","","","","0.0321"
"12/2/2021","","","","0.0338"
"16/2/2021","","","","0.0298"
"17/2/2021","","","","0.0296"
"18/2/2021","","","","0.0279"
"19/2/2021","","","","0.0271"
"22/2/2021","","","","0.0245"
"23/2/2021","","","","0.0256"
"24/2/2021","","","","0.031"
"25/2/2021","","","","0.0362"
"26/2/2021","","","","0.0388"
"1/3/2021","","","","0.0328"
"2/3/2021","","","","0.0324"
"3/3/2021","","","","0.0372"
"4/3/2021","","","","0.0375"
"5/3/2021","","","","0.0348"
"8/3/2021","","","","0.0331"
"9/3/2021","","","","0.0296"
"10/3/2021","","","","0.0295"
"11/3/2021","","","","0.0336"
"12/3/2021","","","","0.0334"
"15/3/2021","","","","0.0278"
"16/3/2021","","","","0.0262"
"17/3/2021","","","","0.0264"
"18/3/2021","","","","0.0259"
"19/3/2021","","","","0.0207"
"22/3/2021","","","","0.0132"
"23/3/2021","","","","0.0116"
"24/3/2021","","","","0.014"
"25/3/2021","","","","0.0163"
"26/3/2021","","","","0.0175"
"29/3/2021","","","","0.0187"
"30/3/2021","","","","0.0189"
"31/3/2021","","","","0.0168"
"1/4/2021","","","","0.0141"
"2/4/2021","","","","0.014"
"5/4/2021","","","","0.014"
"6/4/2021","","","","0.0149"
"7/4/2021","","","","0.017"
"8/4/2021","","","","0.0189"
"9/4/2021","","","","0.02"
"12/4/2021","","","","0.0227"
"13/4/2021","","","","0.0227"
"14/4/2021","","","","0.0236"
"15/4/2021","","","","0.0247"
"16/4/2021","","","","0.028"
"19/4/2021","","","","0.0257"
"20/4/2021","","","","0.0211"
"21/4/2021","","","","0.0213"
"22/4/2021","","","","0.0216"
"23/4/2021","","","","0.0236"
"26/4/2021","","","","0.0234"
"27/4/2021","","","","0.0245"
"28/4/2021","","","","0.0219"
"29/4/2021","","","","0.0211"
"30/4/2021","","","","0.02"
"3/5/2021","","","","0.0217"
"4/5/2021","","","","0.0235"
"5/5/2021","","","","0.0206"
"6/5/2021","","","","0.0205"
"7/5/2021","","","","0.0172"
"10/5/2021","","","","0.017"
"11/5/2021","","","","0.0159"
"12/5/2021","","","","0.0167"
"13/5/2021","","","","0.0147"
"14/5/2021","","","","0.015"
"17/5/2021","","","","0.0156"
"18/5/2021","","","","0.0157"
"19/5/2021","","","","0.0149"
"20/5/2021","","","","0.0183"
"21/5/2021","","","","0.0187"
"24/5/2021","","","","0.0192"
"25/5/2021","","","","0.0187"
"26/5/2021","","","","0.018"
"27/5/2021","","","","0.0166"
"28/5/2021","","","","0.019"
"1/6/2021","","","","0.0196"
"2/6/2021","","","","0.0205"
"3/6/2021","","","","0.023"
"4/6/2021","","","","0.0225"
"7/6/2021","","","","0.0229"
"8/6/2021","","","","0.0231"
"9/6/2021","","","","0.0219"
"10/6/2021","","","","0.0211"
"11/6/2021","","","","0.0206"
"14/6/2021","","","","0.0188"
"15/6/2021","","","","0.0244"
"16/6/2021","","","","0.0259"
"17/6/2021","","","","0.0409"
"18/6/2021","","","","0.0472"
"21/6/2021","","","","0.0488"
"22/6/2021","","","","0.0483"
"23/6/2021","","","","0.0425"
"24/6/2021","","","","0.0439"
"25/6/2021","","","","0.0432"
"28/6/2021","","","","0.0453"
"29/6/2021","","","","0.0459"
"30/6/2021","","","","0.0464"
"1/7/2021","","","","0.047"
"2/7/2021","","","","0.0466"
"6/7/2021","","","","0.0486"
"7/7/2021","","","","0.0477"
"8/7/2021","","","","0.0486"
"9/7/2021","","","","0.0482"
"12/7/2021","","","","0.0482"
"13/7/2021","","","","0.0473"
"14/7/2021","","","","0.048"
"15/7/2021","","","","0.0476"
"16/7/2021","","","","0.0476"
"19/7/2021","","","","0.0477"
"20/7/2021","","","","0.047"
"21/7/2021","","","","0.0466"
"22/7/2021","","","","0.0475"
"23/7/2021","","","","0.0477"
"26/7/2021","","","","0.0479"
"27/7/2021","","","","0.0462"
"28/7/2021","","","","0.0478"
"29/7/2021","","","","0.0479"
"30/7/2021","","","","0.048"
"2/8/2021","","","","0.0478"
"3/8/2021","","","","0.0485"
"4/8/2021","","","","0.0483"
"5/8/2021","","","","0.0481"
"6/8/2021","","","","0.0487"
"9/8/2021","","","","0.0476"
"10/8/2021","","","","0.0469"
"11/8/2021","","","","0.0476"
"12/8/2021","","","","0.0475"
